Date,Dividends
2010-07-28,0.107
2013-03-27,0.064706
2017-10-02,0.058118
2008-09-19,0.039
2018-07-23,0.082394
2008-12-17,0.04
2017-03-27,0.065294
2017-07-03,0.060588
2012-12-19,0.059
2013-09-25,0.076471
2016-12-19,0.078706
2013-06-26,0.06
2016-02-24,0.080947
2014-07-23,0.1554
2020-02-26,0.167761
2016-03-23,0.055294
2016-06-29,0.066706
2017-07-24,0.053003
2013-07-31,0.185001
2015-12-16,0.058824
2012-09-26,0.065
2009-07-24,0.115
2012-03-21,0.065
2016-09-26,0.058139
2012-06-27,0.065
2015-02-25,0.207647
2019-12-23,0.038235
2015-03-25,0.083529
2019-03-25,0.046411
2009-02-17,0.141
2019-07-01,0.042882
2016-08-01,0.036303
2014-12-17,0.0765
2015-09-23,0.054118
2008-07-22,0.163
2019-09-23,0.040882
2011-03-23,0.068235
2015-06-24,0.048824
2014-02-26,0.263001
2014-03-26,0.083529
2018-12-26,0.051411
2017-03-01,0.063689
2015-07-29,0.082999
2018-03-26,0.05247
2018-07-02,0.039176
2008-02-20,0.129
2019-07-29,0.089102
2013-12-18,0.084706
2014-09-24,0.0718
2017-12-18,0.057058
2018-09-24,0.039294
2011-07-22,0.097
2014-06-25,0.070588
2010-06-30,0.05
